QuestID;InterviewDate;InterviewLengthSec;InterviewStatus;AgeBands;Region;BA01R_KA_1;BA02R_271_PL;BA02R_272_PL;BA02R_273_PL;BA02R_274_PL;BA02R_279_PL;BA02R_280_PL;BA02R_282_PL;BA02R_283_PL;BA02R_284_PL;BA02R_285_PL;SU01R;NPS01R
223;07.04.2020;274;1;5;905;0;0;1;1;1;1;1;1;1;0;0;544;7
224;14.04.2020;222;1;2;915;0;0;1;1;1;1;1;0;1;0;1;544;9
225;28.04.2020;567;1;5;908;0;1;1;1;1;1;1;1;1;1;0;542;9
226;08.04.2020;307;1;5;906;0;0;1;1;0;1;1;1;0;0;0;542;0
227;22.04.2020;386;1;3;915;0;1;1;1;1;1;1;1;1;1;1;549;7
228;19.04.2020;236;1;3;907;0;1;0;1;0;0;0;0;1;0;0;541;2
229;08.04.2020;357;1;5;911;0;0;1;1;1;1;1;1;1;0;0;552;6
230;05.04.2020;407;1;5;906;0;0;1;1;0;1;1;1;0;0;0;543;1
231;15.04.2020;181;1;3;915;0;0;1;1;1;0;1;1;1;0;0;544;5
232;03.04.2020;374;1;1;906;0;0;1;1;1;1;1;1;1;1;0;543;0
233;23.04.2020;311;1;2;907;0;1;1;1;1;0;0;1;1;0;0;541;3
234;26.04.2020;474;1;2;907;0;1;1;1;0;0;1;1;1;0;0;541;6
235;24.04.2020;427;1;2;907;0;1;1;1;1;0;1;0;1;0;0;541;6
236;27.04.2020;559;1;2;907;0;1;1;1;1;0;1;0;0;0;0;541;1
237;11.04.2020;509;1;2;907;0;1;1;1;1;0;1;0;1;0;0;541;6
238;18.04.2020;338;1;4;907;0;1;1;1;1;0;0;1;1;0;0;541;2
239;02.04.2020;376;1;2;907;0;1;1;1;1;1;1;1;1;1;1;553;0
240;17.04.2020;245;1;5;909;0;0;0;1;1;1;1;1;1;0;0;541;0
241;02.04.2020;423;1;5;904;0;0;0;1;0;1;1;0;1;0;0;543;8
242;13.04.2020;314;1;4;903;0;0;1;1;1;0;0;1;0;0;0;543;6
243;03.04.2020;431;1;5;901;0;0;1;1;1;0;0;1;1;0;0;542;2
244;11.04.2020;170;1;5;912;0;0;1;1;0;0;1;1;0;0;0;552;6
245;03.04.2020;258;1;3;901;0;1;1;1;0;0;0;0;1;0;0;541;5
246;29.04.2020;493;1;2;907;0;1;1;1;1;0;1;0;1;0;0;541;6
247;09.04.2020;467;1;5;907;0;0;0;1;1;0;0;1;1;0;0;543;2
248;16.04.2020;1061;1;5;907;0;1;1;1;1;0;1;1;1;0;0;541;2
249;16.04.2020;340;1;2;907;0;1;1;1;1;0;1;1;1;0;0;541;0
250;23.04.2020;290;1;2;907;0;1;1;0;1;0;0;0;0;0;0;541;4
251;23.04.2020;506;1;2;907;0;1;1;1;1;0;0;1;1;0;0;541;1
252;19.04.2020;298;1;3;907;0;1;1;1;1;0;0;1;0;0;0;541;7
253;16.04.2020;357;1;2;907;0;1;1;1;1;0;0;1;1;0;0;541;1
254;10.04.2020;215;1;4;901;0;0;1;1;1;0;0;0;1;0;0;542;0
255;08.04.2020;273;1;5;911;0;0;0;1;1;1;1;1;1;0;0;552;1
256;24.04.2020;765;1;3;907;0;1;1;1;1;1;0;1;1;0;1;541;2
257;19.04.2020;338;1;2;907;0;1;1;1;1;0;0;1;1;0;0;541;6
258;21.04.2020;2588;1;3;907;0;1;1;1;1;1;1;1;1;0;0;541;2
259;14.04.2020;460;1;4;915;0;0;1;0;1;0;0;1;0;0;0;552;3
260;12.04.2020;197;1;3;902;0;0;1;1;1;0;0;1;1;0;0;544;2
261;16.04.2020;514;1;4;907;0;1;1;1;1;0;0;1;1;0;0;541;1
262;14.04.2020;336;1;5;913;0;0;1;1;1;0;1;1;1;0;0;543;2
263;10.04.2020;154;1;5;909;0;0;1;1;1;0;0;1;1;0;0;543;0
264;18.04.2020;6872;1;3;912;0;1;1;1;1;1;1;1;1;1;0;542;0
265;06.04.2020;538;1;5;912;0;0;1;1;1;0;0;1;1;0;0;542;2
266;12.04.2020;225;1;3;911;0;0;1;0;1;0;1;1;1;0;0;552;0
267;13.04.2020;307;1;3;913;0;0;1;1;1;1;1;1;0;0;0;543;6
268;09.04.2020;174;1;3;907;0;1;1;1;1;0;0;1;1;0;0;542;9
269;17.04.2020;239;1;2;907;0;1;1;1;1;0;0;1;1;0;0;541;1
270;17.04.2020;102;1;3;907;0;1;1;1;1;0;1;0;1;1;0;541;4
271;15.04.2020;174;1;3;912;0;1;1;1;1;1;1;1;1;1;1;542;1
272;05.04.2020;201;1;5;902;0;0;0;0;0;0;0;1;0;0;0;552;0
273;26.04.2020;78;1;3;907;0;1;0;0;1;0;0;1;0;0;1;541;6
274;05.04.2020;360;1;5;904;0;1;1;1;1;1;1;1;1;0;0;543;5
275;05.04.2020;335;1;5;907;0;0;1;1;1;0;1;1;1;0;0;543;5
276;28.04.2020;465;1;4;907;0;1;1;1;1;0;1;1;1;0;0;541;8
277;06.04.2020;142;1;5;916;0;0;0;0;0;0;0;1;0;0;0;552;9
